unit_cost,mean,median,BLR,KAZ,PER,RUS
c_aes_BDQ,31.1159813084112,17.055,15.27,19.75,16.64,21.62
c_aes_FQ,31.1159813084112,17.055,15.27,19.75,16.64,21.62
c_aes_INH,31.1159813084112,17.055,15.27,19.75,16.64,21.62
c_cxr_exam,4.89626168224299,4.035,2.8,2.99,4.55,3.17
c_dstb_tx,4374.87668224299,1859.11,13881.69,6818.22,3633.6,8048.99
c_hh_visit,4.1196261682243,3.395,2.36,2.51,3.83,2.66
c_hiv_test,20.0957943925234,5.43,3.54,3.78,5.76,4.01
c_mdrtb_tx1.04,12414.3395794393,4855.5,24700.21,17631.54,26756.99,28816.21
c_mdrtb_tx1.514,13493.7795794393,5934.94,25779.65,18710.98,27836.43,29895.65
c_mdrtb_tx2.04,12320.7395794392,4761.9,24606.61,17537.94,26663.39,28722.61
c_mdrtb_tx2.514,12976.2795794393,5417.44,25262.15,18193.48,27318.93,29378.15
c_monit_BDQ,18.1253738317757,10.235,4.92,5.61,13,6.3
c_monit_FQ,18.1253738317757,10.235,4.92,5.61,13,6.3
c_monit_INH,18.1253738317757,10.235,4.92,5.61,13,6.3
c_opd_visit,25.941261682243,12.87,12.31,16.59,11.83,18.28
c_saes_BDQ,659.246682242991,191.62,179.3,269.32,171.87,307.44
c_saes_FQ,659.246682242991,191.62,179.3,269.32,171.87,307.44
c_saes_INH,659.246682242991,191.62,179.3,269.32,171.87,307.44
c_tpt_BDQ.04,74.1800000000002,74.18,74.18,74.18,74.18,74.18
c_tpt_BDQ.514,160.28,160.28,160.28,160.28,160.28,160.28
c_tpt_DLM.04,203.400000000001,203.4,203.4,203.4,203.4,203.4
c_tpt_DLM.514,406.800000000002,406.8,406.8,406.8,406.8,406.8
c_tpt_INH.04,5.4,5.4,5.4,5.4,5.4,5.4
c_tpt_INH.514,12.6,12.6,12.6,12.6,12.6,12.6
c_tpt_LVX.04,34.1999999999999,34.2,34.2,34.2,34.2,34.2
c_tpt_LVX.514,117,117,117,117,117,117
c_tpt_MXF.04,54,54,54,54,54,54
c_tpt_MXF.514,144,144,144,144,144,144
c_tpt_fu,155.646869158879,77.245,73.84,99.55,71,109.65
c_tst_test,11.2916355140187,9.305,6.46,6.89,10.49,7.3
c_xpert_test.04,34.8392990654205,28.71,19.92,21.26,32.37,22.52
c_xpert_test.514,32.5004205607477,26.785,18.58,19.83,30.19,21.01
